"","Date","Time","T..IPTS.90"
"124",2022-03-21,"15:34:31",5.3848
"125",2022-03-21,"15:36:31",5.3868
"126",2022-03-21,"15:38:31",5.3754
"127",2022-03-21,"15:40:31",5.4125
"128",2022-03-21,"15:42:31",5.4125
"129",2022-03-21,"15:44:31",5.4334
"130",2022-03-21,"15:46:31",5.6086
"131",2022-03-21,"15:48:31",5.4328
"132",2022-03-21,"15:50:31",5.4406
"133",2022-03-21,"15:52:31",5.4057
"134",2022-03-21,"15:54:31",5.422
"135",2022-03-21,"15:56:31",5.4716
"136",2022-03-21,"15:58:31",5.4136
"137",2022-03-21,"16:0:31",5.4208
"138",2022-03-21,"16:2:31",5.7098
"139",2022-03-21,"16:4:31",5.6393
"140",2022-03-21,"16:6:31",5.7836
"141",2022-03-21,"16:8:31",5.4508
"142",2022-03-21,"16:10:31",5.6815
"143",2022-03-21,"16:12:31",5.6604
"144",2022-03-21,"16:14:31",5.758
"145",2022-03-21,"16:16:31",5.726
"146",2022-03-21,"16:18:31",5.826
"147",2022-03-21,"16:20:31",5.6704
"148",2022-03-21,"16:22:31",5.5216
"149",2022-03-21,"16:24:31",5.6377
"150",2022-03-21,"16:26:31",5.6316
"151",2022-03-21,"16:28:31",5.4899
"152",2022-03-21,"16:30:31",5.4388
"153",2022-03-21,"16:32:31",5.6429
"154",2022-03-21,"16:34:31",5.6595
"155",2022-03-21,"16:36:31",5.512
"156",2022-03-21,"16:38:31",5.6792
"157",2022-03-21,"16:40:31",5.5689
"158",2022-03-21,"16:42:31",5.6758
"159",2022-03-21,"16:44:31",5.6344
"160",2022-03-21,"16:46:31",5.4954
"161",2022-03-21,"16:48:31",5.7014
"162",2022-03-21,"16:50:31",5.4925
"163",2022-03-21,"16:52:31",5.6547
"164",2022-03-21,"16:54:31",5.6934
"165",2022-03-21,"16:56:31",5.7522
"166",2022-03-21,"16:58:31",5.6867
"167",2022-03-21,"17:0:31",5.6796
"168",2022-03-21,"17:2:31",5.6776
"169",2022-03-21,"17:4:31",5.6734
"170",2022-03-21,"17:6:31",5.651
"171",2022-03-21,"17:8:31",5.6372
"172",2022-03-21,"17:10:31",5.6689
"173",2022-03-21,"17:12:31",5.804
"174",2022-03-21,"17:14:31",5.6467
"175",2022-03-21,"17:16:31",5.7706
"176",2022-03-21,"17:18:31",5.7387
"177",2022-03-21,"17:20:31",5.5023
"178",2022-03-21,"17:22:31",5.7146
"179",2022-03-21,"17:24:31",5.5984
"180",2022-03-21,"17:26:31",5.5132
"181",2022-03-21,"17:28:31",5.625
"182",2022-03-21,"17:30:31",5.4685
"183",2022-03-21,"17:32:31",5.7144
"184",2022-03-21,"17:34:31",5.5963
"185",2022-03-21,"17:36:31",5.5823
"186",2022-03-21,"17:38:31",5.7329
"187",2022-03-21,"17:40:31",5.5712
"188",2022-03-21,"17:42:31",5.5754
"189",2022-03-21,"17:44:31",5.5646
"190",2022-03-21,"17:46:31",5.529
"191",2022-03-21,"17:48:31",5.7737
"192",2022-03-21,"17:50:31",5.5721
"193",2022-03-21,"17:52:31",5.6324
"194",2022-03-21,"17:54:31",5.6986
"195",2022-03-21,"17:56:31",5.8497
"196",2022-03-21,"17:58:31",5.5379
"197",2022-03-21,"18:0:31",5.7585
"198",2022-03-21,"18:2:31",5.6984
"199",2022-03-21,"18:4:31",5.7628
"200",2022-03-21,"18:6:31",5.7786
"201",2022-03-21,"18:8:31",5.5942
"202",2022-03-21,"18:10:31",5.6942
"203",2022-03-21,"18:12:31",5.8332
"204",2022-03-21,"18:14:31",5.8149
"205",2022-03-21,"18:16:31",5.8176
"206",2022-03-21,"18:18:31",5.8122
"207",2022-03-21,"18:20:31",5.8106
"208",2022-03-21,"18:22:31",5.8265
"209",2022-03-21,"18:24:31",5.5394
"210",2022-03-21,"18:26:31",5.7729
"211",2022-03-21,"18:28:31",5.7569
"212",2022-03-21,"18:30:31",5.7643
"213",2022-03-21,"18:32:31",5.7605
"214",2022-03-21,"18:34:31",5.6975
"215",2022-03-21,"18:36:31",5.7599
"216",2022-03-21,"18:38:31",5.6199
"217",2022-03-21,"18:40:31",5.6022
"218",2022-03-21,"18:42:31",5.4547
"219",2022-03-21,"18:44:31",5.3401
"220",2022-03-21,"18:46:31",5.2669
"221",2022-03-21,"18:48:31",5.3156
"222",2022-03-21,"18:50:31",5.321
"223",2022-03-21,"18:52:31",5.3321
"224",2022-03-21,"18:54:31",5.3201
"225",2022-03-21,"18:56:31",5.3286
"226",2022-03-21,"18:58:31",5.2997
"227",2022-03-21,"19:0:31",5.6052
"228",2022-03-21,"19:2:31",5.591
"229",2022-03-21,"19:4:31",5.4688
"230",2022-03-21,"19:6:31",5.5888
"231",2022-03-21,"19:8:31",5.563
"232",2022-03-21,"19:10:31",5.5901
"233",2022-03-21,"19:12:31",5.4699
"234",2022-03-21,"19:14:31",5.4816
"235",2022-03-21,"19:16:31",5.506
"236",2022-03-21,"19:18:31",5.4991
"237",2022-03-21,"19:20:31",5.4762
"238",2022-03-21,"19:22:31",5.4913
"239",2022-03-21,"19:24:31",5.4742
"240",2022-03-21,"19:26:31",5.5557
"241",2022-03-21,"19:28:31",5.5154
"242",2022-03-21,"19:30:31",5.5137
"243",2022-03-21,"19:32:31",5.459
"244",2022-03-21,"19:34:31",5.4668
"245",2022-03-21,"19:36:31",5.476
"246",2022-03-21,"19:38:31",5.463
"247",2022-03-21,"19:40:31",5.5103
"248",2022-03-21,"19:42:31",5.5492
"249",2022-03-21,"19:44:31",5.6074
"250",2022-03-21,"19:46:31",5.6029
"251",2022-03-21,"19:48:31",5.6338
"252",2022-03-21,"19:50:31",5.6328
"253",2022-03-21,"19:52:31",5.5239
"254",2022-03-21,"19:54:31",5.5961
"255",2022-03-21,"19:56:31",5.615
"256",2022-03-21,"19:58:31",5.5944
"257",2022-03-21,"20:0:31",5.5915
"258",2022-03-21,"20:2:31",5.5742
"259",2022-03-21,"20:4:31",5.5592
"260",2022-03-21,"20:6:31",5.5567
"261",2022-03-21,"20:8:31",5.5453
"262",2022-03-21,"20:10:31",5.4802
"263",2022-03-21,"20:12:31",5.5044
"264",2022-03-21,"20:14:31",5.471
"265",2022-03-21,"20:16:31",5.5016
"266",2022-03-21,"20:18:31",5.4701
"267",2022-03-21,"20:20:31",5.5466
"268",2022-03-21,"20:22:31",5.4745
"269",2022-03-21,"20:24:31",5.4868
"270",2022-03-21,"20:26:31",5.5489
"271",2022-03-21,"20:28:31",5.5352
"272",2022-03-21,"20:30:31",5.545
"273",2022-03-21,"20:32:31",5.5633
"274",2022-03-21,"20:34:31",5.5797
"275",2022-03-21,"20:36:31",5.5808
"276",2022-03-21,"20:38:31",5.5681
"277",2022-03-21,"20:40:31",5.5807
"278",2022-03-21,"20:42:31",5.5465
"279",2022-03-21,"20:44:31",5.5893
"280",2022-03-21,"20:46:31",5.5962
"281",2022-03-21,"20:48:31",5.5782
"282",2022-03-21,"20:50:31",5.5893
"283",2022-03-21,"20:52:31",5.5883
"284",2022-03-21,"20:54:31",5.5805
"285",2022-03-21,"20:56:31",5.5905
"286",2022-03-21,"20:58:31",5.5771
"287",2022-03-21,"21:0:31",5.5831
"288",2022-03-21,"21:2:31",5.5782
"289",2022-03-21,"21:4:31",5.5668
"290",2022-03-21,"21:6:31",5.5606
"291",2022-03-21,"21:8:31",5.6028
"292",2022-03-21,"21:10:31",5.5673
"293",2022-03-21,"21:12:31",5.5727
"294",2022-03-21,"21:14:31",5.569
"295",2022-03-21,"21:16:31",5.5866
"296",2022-03-21,"21:18:31",5.5522
"297",2022-03-21,"21:20:31",5.5541
"298",2022-03-21,"21:22:31",5.5397
"299",2022-03-21,"21:24:31",5.5554
"300",2022-03-21,"21:26:31",5.5385
"301",2022-03-21,"21:28:31",5.5475
"302",2022-03-21,"21:30:31",5.5385
"303",2022-03-21,"21:32:31",5.4911
"304",2022-03-21,"21:34:31",5.5511
"305",2022-03-21,"21:36:31",5.5362
"306",2022-03-21,"21:38:31",5.5492
"307",2022-03-21,"21:40:31",5.5428
"308",2022-03-21,"21:42:31",5.5587
"309",2022-03-21,"21:44:31",5.5082
"310",2022-03-21,"21:46:31",5.523
"311",2022-03-21,"21:48:31",5.5632
"312",2022-03-21,"21:50:31",5.5509
"313",2022-03-21,"21:52:31",5.5656
"314",2022-03-21,"21:54:31",5.5771
"315",2022-03-21,"21:56:31",5.5392
"316",2022-03-21,"21:58:31",5.5333
"317",2022-03-21,"22:0:31",5.5746
"318",2022-03-21,"22:2:31",5.5561
"319",2022-03-21,"22:4:31",5.5664
"320",2022-03-21,"22:6:31",5.5838
"321",2022-03-21,"22:8:31",5.575
"322",2022-03-21,"22:10:31",5.5517
"323",2022-03-21,"22:12:31",5.571
"324",2022-03-21,"22:14:31",5.5596
"325",2022-03-21,"22:16:31",5.5251
"326",2022-03-21,"22:18:31",5.5381
"327",2022-03-21,"22:20:31",5.5311
"328",2022-03-21,"22:22:31",5.5388
"329",2022-03-21,"22:24:31",5.5249
"330",2022-03-21,"22:26:31",5.5139
"331",2022-03-21,"22:28:31",5.5097
"332",2022-03-21,"22:30:31",5.5147
"333",2022-03-21,"22:32:31",5.516
"334",2022-03-21,"22:34:31",5.5063
"335",2022-03-21,"22:36:31",5.4948
"336",2022-03-21,"22:38:31",5.4911
"337",2022-03-21,"22:40:31",5.4911
"338",2022-03-21,"22:42:31",5.4887
"339",2022-03-21,"22:44:31",5.4512
"340",2022-03-21,"22:46:31",5.4798
"341",2022-03-21,"22:48:31",5.4584
"342",2022-03-21,"22:50:31",5.4266
"343",2022-03-21,"22:52:31",5.3926
"344",2022-03-21,"22:54:31",5.4529
"345",2022-03-21,"22:56:31",5.4097
"346",2022-03-21,"22:58:31",5.3895
"347",2022-03-21,"23:0:31",5.3893
"348",2022-03-21,"23:2:31",5.4131
"349",2022-03-21,"23:4:31",5.4079
"350",2022-03-21,"23:6:31",5.4547
"351",2022-03-21,"23:8:31",5.4588
"352",2022-03-21,"23:10:31",5.4393
"353",2022-03-21,"23:12:31",5.4254
"354",2022-03-21,"23:14:31",5.4263
"355",2022-03-21,"23:16:31",5.4423
"356",2022-03-21,"23:18:31",5.4396
"357",2022-03-21,"23:20:31",5.4176
"358",2022-03-21,"23:22:31",5.4184
"359",2022-03-21,"23:24:31",5.4224
"360",2022-03-21,"23:26:31",5.4173
"361",2022-03-21,"23:28:31",5.4198
"362",2022-03-21,"23:30:31",5.4046
"363",2022-03-21,"23:32:31",5.4088
"364",2022-03-21,"23:34:31",5.4165
"365",2022-03-21,"23:36:31",5.4193
"366",2022-03-21,"23:38:31",5.4161
"367",2022-03-21,"23:40:31",5.4225
"368",2022-03-21,"23:42:31",5.416
"369",2022-03-21,"23:44:31",5.4191
"370",2022-03-21,"23:46:31",5.4207
"371",2022-03-21,"23:48:31",5.4153
"372",2022-03-21,"23:50:31",5.4258
"373",2022-03-21,"23:52:31",5.4298
"374",2022-03-21,"23:54:31",5.4304
"375",2022-03-21,"23:56:31",5.424
"376",2022-03-21,"23:58:31",5.4349
"377",2022-03-22,"0:0:31",5.4342
"378",2022-03-22,"0:2:31",5.4331
"379",2022-03-22,"0:4:31",5.4305
"380",2022-03-22,"0:6:31",5.4347
"381",2022-03-22,"0:8:31",5.4315
"382",2022-03-22,"0:10:31",5.4339
"383",2022-03-22,"0:12:31",5.4329
"384",2022-03-22,"0:14:31",5.4094
"385",2022-03-22,"0:16:31",5.4233
"386",2022-03-22,"0:18:31",5.4272
"387",2022-03-22,"0:20:31",5.4227
"388",2022-03-22,"0:22:31",5.4232
"389",2022-03-22,"0:24:31",5.4164
"390",2022-03-22,"0:26:31",5.402
"391",2022-03-22,"0:28:31",5.4152
"392",2022-03-22,"0:30:31",5.4066
"393",2022-03-22,"0:32:31",5.3976
"394",2022-03-22,"0:34:31",5.3989
"395",2022-03-22,"0:36:31",5.4059
"396",2022-03-22,"0:38:31",5.429
"397",2022-03-22,"0:40:31",5.4802
"398",2022-03-22,"0:42:31",5.0646
"399",2022-03-22,"0:46:31",5.1189
"400",2022-03-22,"0:48:31",5.4423
"401",2022-03-22,"0:50:31",5.4347
"402",2022-03-22,"0:52:31",5.3864
"403",2022-03-22,"0:54:31",5.4287
"404",2022-03-22,"0:56:31",5.4133
"405",2022-03-22,"0:58:31",5.4271
"406",2022-03-22,"1:0:31",5.4261
"407",2022-03-22,"1:2:31",5.4287
"408",2022-03-22,"1:4:31",5.4286
"409",2022-03-22,"1:6:31",5.4252
"410",2022-03-22,"1:8:31",5.4273
"411",2022-03-22,"1:10:31",5.4205
"412",2022-03-22,"1:12:31",5.423
"413",2022-03-22,"1:14:31",5.4254
"414",2022-03-22,"1:16:31",5.426
"415",2022-03-22,"1:18:31",5.4216
"416",2022-03-22,"1:20:31",5.4222
"417",2022-03-22,"1:22:31",5.4247
"418",2022-03-22,"1:24:31",5.4169
"419",2022-03-22,"1:26:31",5.4174
"420",2022-03-22,"1:28:31",5.417
"421",2022-03-22,"1:30:31",5.4234
"422",2022-03-22,"1:32:31",5.42
"423",2022-03-22,"1:34:31",5.4139
"424",2022-03-22,"1:36:31",5.4178
"425",2022-03-22,"1:38:31",5.4123
"426",2022-03-22,"1:40:31",5.4137
"427",2022-03-22,"1:42:31",5.4093
"428",2022-03-22,"1:44:31",5.418
"429",2022-03-22,"1:46:31",5.4122
"430",2022-03-22,"1:48:31",5.4138
"431",2022-03-22,"1:50:31",5.4182
"432",2022-03-22,"1:52:31",5.4278
"433",2022-03-22,"1:54:31",5.4359
"434",2022-03-22,"1:56:31",5.4268
"435",2022-03-22,"1:58:31",5.4358
"436",2022-03-22,"2:0:31",5.4446
"437",2022-03-22,"2:2:31",5.4292
"438",2022-03-22,"2:4:31",5.4295
"439",2022-03-22,"2:6:31",5.4226
"440",2022-03-22,"2:8:31",5.4317
"441",2022-03-22,"2:10:31",5.4464
"442",2022-03-22,"2:12:31",5.4452
"443",2022-03-22,"2:14:31",5.4387
"444",2022-03-22,"2:16:31",5.4387
"445",2022-03-22,"2:18:31",5.4377
"446",2022-03-22,"2:20:31",5.4358
"447",2022-03-22,"2:22:31",5.4417
"448",2022-03-22,"2:24:31",5.4453
"449",2022-03-22,"2:26:31",5.4487
"450",2022-03-22,"2:28:31",5.4443
"451",2022-03-22,"2:30:31",5.4147
"452",2022-03-22,"2:32:31",5.4189
"453",2022-03-22,"2:34:31",5.4367
"454",2022-03-22,"2:36:31",5.3967
"455",2022-03-22,"2:38:31",5.3968
"456",2022-03-22,"2:40:31",5.3739
"457",2022-03-22,"2:42:31",5.3565
"458",2022-03-22,"2:44:31",5.3814
"459",2022-03-22,"2:46:31",5.3682
"460",2022-03-22,"2:48:31",5.4304
"461",2022-03-22,"2:50:31",5.4224
"462",2022-03-22,"2:52:31",5.4214
"463",2022-03-22,"2:54:31",5.4229
"464",2022-03-22,"2:56:31",5.4331
"465",2022-03-22,"2:58:31",5.4358
"466",2022-03-22,"3:0:31",5.418
"467",2022-03-22,"3:2:31",5.4074
"468",2022-03-22,"3:4:31",5.4527
"469",2022-03-22,"3:6:31",5.4862
"470",2022-03-22,"3:8:31",5.476
"471",2022-03-22,"3:10:31",5.4854
"472",2022-03-22,"3:12:31",5.4809
"473",2022-03-22,"3:14:31",5.4763
"474",2022-03-22,"3:16:31",5.4765
"475",2022-03-22,"3:18:31",5.4781
"476",2022-03-22,"3:20:31",5.4775
"477",2022-03-22,"3:22:31",5.482
"478",2022-03-22,"3:24:31",5.4796
"479",2022-03-22,"3:26:31",5.4783
"480",2022-03-22,"3:28:31",5.4814
"481",2022-03-22,"3:30:31",5.4835
"482",2022-03-22,"3:32:31",5.4836
"483",2022-03-22,"3:34:31",5.4813
"484",2022-03-22,"3:36:31",5.4848
"485",2022-03-22,"3:38:31",5.4829
"486",2022-03-22,"3:40:31",5.4827
"487",2022-03-22,"3:42:31",5.4778
"488",2022-03-22,"3:44:31",5.4792
"489",2022-03-22,"3:46:31",5.4766
"490",2022-03-22,"3:48:31",5.4702
"491",2022-03-22,"3:50:31",5.4187
"492",2022-03-22,"3:52:31",5.4412
"493",2022-03-22,"3:54:31",5.4451
"494",2022-03-22,"3:56:31",5.4342
"495",2022-03-22,"3:58:31",5.4407
"496",2022-03-22,"4:0:31",5.4447
"497",2022-03-22,"4:2:31",5.4485
"498",2022-03-22,"4:4:31",5.4389
"499",2022-03-22,"4:6:31",5.4413
"500",2022-03-22,"4:8:31",5.4402
"501",2022-03-22,"4:10:31",5.4383
"502",2022-03-22,"4:12:31",5.4373
"503",2022-03-22,"4:14:31",5.4291
"504",2022-03-22,"4:16:31",5.4268
"505",2022-03-22,"4:18:31",5.437
"506",2022-03-22,"4:20:31",5.4331
"507",2022-03-22,"4:22:31",5.4384
"508",2022-03-22,"4:24:31",5.4309
"509",2022-03-22,"4:26:31",5.4425
"510",2022-03-22,"4:28:31",5.4535
"511",2022-03-22,"4:30:31",5.4519
"512",2022-03-22,"4:32:31",5.4521
"513",2022-03-22,"4:34:31",5.452
"514",2022-03-22,"4:36:31",5.4569
"515",2022-03-22,"4:38:31",5.4607
"516",2022-03-22,"4:40:31",5.4557
"517",2022-03-22,"4:42:31",5.4516
"518",2022-03-22,"4:44:31",5.4532
"519",2022-03-22,"4:46:31",5.4532
"520",2022-03-22,"4:48:31",5.4564
"521",2022-03-22,"4:50:31",5.4543
"522",2022-03-22,"4:52:31",5.4397
"523",2022-03-22,"4:54:31",5.4329
"524",2022-03-22,"4:56:31",5.4339
"525",2022-03-22,"4:58:31",5.4405
"526",2022-03-22,"5:0:31",5.425
"527",2022-03-22,"5:2:31",5.4245
"528",2022-03-22,"5:4:31",5.4223
"529",2022-03-22,"5:6:31",5.4264
"530",2022-03-22,"5:8:31",5.4247
"531",2022-03-22,"5:10:31",5.4228
"532",2022-03-22,"5:12:31",5.422
"533",2022-03-22,"5:14:31",5.4234
"534",2022-03-22,"5:16:31",5.4206
"535",2022-03-22,"5:18:31",5.4245
"536",2022-03-22,"5:20:31",5.4232
"537",2022-03-22,"5:22:31",5.4253
"538",2022-03-22,"5:24:31",5.4269
"539",2022-03-22,"5:26:31",5.4311
"540",2022-03-22,"5:28:31",5.4235
"541",2022-03-22,"5:30:31",5.4235
"542",2022-03-22,"5:32:31",5.4208
"543",2022-03-22,"5:34:31",5.4259
"544",2022-03-22,"5:36:31",5.4196
"545",2022-03-22,"5:38:31",5.4289
"546",2022-03-22,"5:40:31",5.4151
"547",2022-03-22,"5:42:31",5.4134
"548",2022-03-22,"5:44:31",5.422
"549",2022-03-22,"5:46:31",5.414
"550",2022-03-22,"5:48:31",5.428
"551",2022-03-22,"5:50:31",5.4271
"552",2022-03-22,"5:52:31",5.4212
"553",2022-03-22,"5:54:31",5.4186
"554",2022-03-22,"5:56:31",5.4258
"555",2022-03-22,"5:58:31",5.4313
"556",2022-03-22,"6:0:31",5.4219
"557",2022-03-22,"6:2:31",5.4387
"558",2022-03-22,"6:4:31",5.4426
"559",2022-03-22,"6:6:31",5.4474
"560",2022-03-22,"6:8:31",5.435
"561",2022-03-22,"6:10:31",5.435
"562",2022-03-22,"6:12:31",5.4415
"563",2022-03-22,"6:14:31",5.4277
"564",2022-03-22,"6:16:31",5.4453
"565",2022-03-22,"6:18:31",5.4218
"566",2022-03-22,"6:20:31",5.4431
"567",2022-03-22,"6:22:31",5.4271
"568",2022-03-22,"6:24:31",5.4388
"569",2022-03-22,"6:26:31",5.4085
"570",2022-03-22,"6:28:31",5.4415
"571",2022-03-22,"6:30:31",5.4326
"572",2022-03-22,"6:32:31",5.4341
"573",2022-03-22,"6:34:31",5.4377
"574",2022-03-22,"6:36:31",5.4111
"575",2022-03-22,"6:38:31",5.4374
"576",2022-03-22,"6:40:31",5.4165
"577",2022-03-22,"6:42:31",5.4163
"578",2022-03-22,"6:44:31",5.4159
"579",2022-03-22,"6:46:31",5.4203
"580",2022-03-22,"6:48:31",5.4206
"581",2022-03-22,"6:50:31",5.4186
"582",2022-03-22,"6:52:31",5.4219
"583",2022-03-22,"6:54:31",5.4106
"584",2022-03-22,"6:56:31",5.4059
"585",2022-03-22,"6:58:31",5.4093
"586",2022-03-22,"7:0:31",5.4003
"587",2022-03-22,"7:2:31",5.3962
"588",2022-03-22,"7:4:31",5.4008
"589",2022-03-22,"7:6:31",5.4064
"590",2022-03-22,"7:8:31",5.4078
"591",2022-03-22,"7:10:31",5.4055
"592",2022-03-22,"7:12:31",5.3522
"593",2022-03-22,"7:14:31",5.4202
"594",2022-03-22,"7:16:31",5.4214
"595",2022-03-22,"7:18:31",5.3951
"596",2022-03-22,"7:20:31",5.4178
"597",2022-03-22,"7:22:31",5.4176
"598",2022-03-22,"7:24:31",5.4075
"599",2022-03-22,"7:26:31",5.4033
"600",2022-03-22,"7:28:31",5.4125
"601",2022-03-22,"7:30:31",5.4267
"602",2022-03-22,"7:32:31",5.3869
"603",2022-03-22,"7:34:31",5.4167
"604",2022-03-22,"7:36:31",5.3369
"605",2022-03-22,"7:38:31",5.4204
"606",2022-03-22,"7:40:31",5.3806
"607",2022-03-22,"7:42:31",5.3828
"608",2022-03-22,"7:44:31",5.4013
"609",2022-03-22,"7:46:31",5.3994
"610",2022-03-22,"7:48:31",5.3998
"611",2022-03-22,"7:50:31",5.3954
"612",2022-03-22,"7:52:31",5.4103
"613",2022-03-22,"7:54:31",5.4135
"614",2022-03-22,"7:56:31",5.3986
"615",2022-03-22,"7:58:31",5.4088
"616",2022-03-22,"8:0:31",5.4117
"617",2022-03-22,"8:2:31",5.406
"618",2022-03-22,"8:4:31",5.4078
"619",2022-03-22,"8:6:31",5.4128
"620",2022-03-22,"8:8:31",5.4069
"621",2022-03-22,"8:10:31",5.4014
"622",2022-03-22,"8:12:31",5.403
"623",2022-03-22,"8:14:31",5.4049
"624",2022-03-22,"8:16:31",5.4038
"625",2022-03-22,"8:18:31",5.4009
"626",2022-03-22,"8:20:31",5.3958
"627",2022-03-22,"8:22:31",5.4059
"628",2022-03-22,"8:24:31",5.3954
"629",2022-03-22,"8:26:31",5.3985
"630",2022-03-22,"8:28:31",5.3971
"631",2022-03-22,"8:30:31",5.3996
"632",2022-03-22,"8:32:31",5.3999
"633",2022-03-22,"8:34:31",5.4022
"634",2022-03-22,"8:36:31",5.4035
"635",2022-03-22,"8:38:31",5.4002
"636",2022-03-22,"8:40:31",5.3991
"637",2022-03-22,"8:42:31",5.398
